time,Open,High,Low,Close
2024-01-14,2578.36,2579.08,2470.5,2474.11
2024-01-15,2474.11,2554.54,2471.95,2512.16
2024-01-16,2512.09,2613.71,2500.26,2587.32
2024-01-17,2587.42,2592.88,2505.99,2530.86
2024-01-18,2530.77,2549.83,2428.55,2471.23
2024-01-19,2471.24,2504.52,2415.62,2492.33
2024-01-20,2492.29,2492.29,2454.01,2472.19
2024-01-21,2472.19,2482.38,2452.36,2457.14
2024-01-22,2457.11,2466.43,2302.82,2314.43
2024-01-23,2314.4,2351.28,2167.56,2241.93
2024-01-24,2242.01,2264.3,2195.46,2234.98
2024-01-25,2234.98,2242.8,2170.23,2218.28
2024-01-26,2218.23,2281.89,2195.32,2267.14
2024-01-27,2267.17,2282.96,2250.71,2267.38
2024-01-28,2267.25,2308.02,2238.29,2256.2
2024-01-29,2256.19,2322.4,2232.39,2316.77
2024-01-30,2316.72,2391.92,2295.96,2342.48
2024-01-31,2342.44,2351.33,2262.24,2282.43
2024-02-01,2282.4,2311.75,2237.94,2303.43
2024-02-02,2303.48,2324.54,2281.18,2308.54
2024-02-03,2308.54,2329.98,2291.69,2295.73
2024-02-04,2295.73,2311.31,2264.82,2288.99
2024-02-05,2288.99,2338.08,2267.95,2301.16
2024-02-06,2301.02,2391.91,2298.18,2371.88
2024-02-07,2371.87,2444.86,2352.87,2424.47
2024-02-08,2424.43,2463.56,2411.22,2419.04
2024-02-09,2419.05,2526.16,2418.56,2485.94
2024-02-10,2485.94,2516.25,2470.65,2499.62
2024-02-11,2499.61,2539.69,2492.45,2506.7
2024-02-12,2506.82,2667.75,2471.11,2660.63
2024-02-13,2660.7,2688.2,2589.77,2640.7
2024-02-14,2640.84,2788.67,2619.06,2775.92
2024-02-15,2775.98,2870.29,2760.53,2824.32
2024-02-16,2824.32,2859.25,2736.92,2803.4
2024-02-17,2803.44,2805.75,2718.52,2787.11
2024-02-18,2787.24,2899.09,2764.46,2883.28
2024-02-19,2883.27,2988.19,2858.13,2946.18
2024-02-20,2946.17,3036.26,2874.4,3016.72
2024-02-21,3016.75,3019.27,2867.73,2969.24
2024-02-22,2969.24,3041.76,2906.92,2972.31
2024-02-23,2972.22,2995.17,2906.57,2922.98
2024-02-24,2922.92,3008.62,2906.94,2993.89
2024-02-25,2993.77,3130.81,2984.95,3114.58
2024-02-26,3114.61,3198.75,3038.08,3177.99
2024-02-27,3178.0,3292.04,3167.94,3244.35
2024-02-28,3244.46,3499.96,3177.48,3385.97
2024-02-29,3386.0,3530.2,3300.53,3342.57
2024-03-01,3342.64,3453.3,3341.74,3434.78
2024-03-02,3434.88,3474.89,3395.03,3423.79
2024-03-03,3423.72,3495.73,3358.22,3490.98
2024-03-04,3491.04,3643.79,3420.9,3629.28
2024-03-05,3629.15,3827.15,3205.02,3554.6
