_source_file,fold_id,bars_total,bars_train,bars_embargo,bars_val,val_start,val_end,total_return,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown,win_rate,total_trades,profit_factor,expectancy,avg_hold_hours,ulcer_index,omega_0,omega_fees,chart,symbol,timeframe,trial_id,method,trial_uid,adx_dead_threshold,adx_floor,adx_period,adx_threshold,atr_len,atr_pct_cap,atr_pct_floor,base_fast_len,base_slow_len,be_buffer,catastrophic_stop_atr_mult,chandelier_atr_multiplier,chandelier_atr_period,cooldown_bars,dead_bars,dma_atr_len,dma_buffer_mult,trail_dma_buffer,fast_max_len,fast_min_len,slow_max_len,slow_min_len,session_start,session_end,friday_cutoff_bars,init_atr_mult,lower_inner_mult,lower_outer_mult,upper_inner_mult,upper_outer_mult,max_consec_losses,max_equity_heat_pct,max_holding_period,min_addon_distance_ATR,partial_pct,ranging_trigger_window,momentum_len,momentum_lookback,slope_len,slope_lookback,rsi_len,rsi_oversold,stoch_d,stoch_k,stoch_smooth,volatility_atr_long,volatility_atr_short,start_capital,end_capital,long_trades,long_win_rate,long_expectancy,robust_score
interactive_sobol_256_20260110_155945.json,,,,,,,,6.037522738959582,1.0137971000420891,1.6137122737845857,0.013961115813467548,3.4229035939370287,22.857142857142858,35,2.0629470262825405,86.25032484227994,,0.026497418194711377,1.342022962542928,0.03419744921852097,USDJPY_30m_cl_1.csv,USDJPY,30m,5667,sobol,20260110_155945:5667,16,15,14,18,10,0.015,0.0006,14,55,0.2,2.2,2.6,18,9,2,14,0.8,0.75,30,5,100,30,07:00,22:00,4,1.6,1.1,1.9,1.1,2.3,4,1.0,48,1.2,0.5,3,14,14,10,2,14,32,3,12,2,70,5,50000.0,53018.76136947979,35.0,22.857142857142858,0.001747609230445784,
interactive_sobol_256_20260110_155945.json,,,,,,,,3.6889474891598946,0.8031475263821864,1.3062233568587036,0.01180152027985906,2.47984963352528,40.0,35,1.8555600425868157,52.699249845141736,,0.012652241208936413,1.256702921667244,0.025045514638399442,USDJPY_30m_cl_1.csv,USDJPY,30m,5787,sobol,20260110_155945:5787,12,15,8,18,10,0.015,0.0006,14,55,0.2,3.0,2.0,18,9,4,14,0.8,0.75,30,5,100,30,08:00,22:00,2,1.0,1.1,1.9,1.1,2.3,3,0.8,144,0.9,0.25,3,14,14,10,2,14,32,3,12,2,70,7,50000.0,51844.47374457995,35.0,40.0,0.0010618366867853402,
interactive_sobol_256_20260110_155945.json,,,,,,,,4.955403770995967,0.7874856839973269,1.3530146181312395,0.010611889846343705,2.4725885157858953,34.285714285714285,35,2.248227019119073,70.7914824427997,,0.02425224585174777,1.351770333763829,0.01831564253578461,USDJPY_30m_cl_2.csv,USDJPY,30m,7345,sobol,20260110_155945:7345,16,15,10,22,10,0.015,0.0006,10,40,0.2,2.2,2.6,18,9,4,14,0.8,0.75,30,5,100,30,09:00,20:00,6,1.2,1.1,1.9,1.1,2.3,3,0.8,96,1.5,0.33,4,14,14,10,2,14,32,3,12,2,90,3,50000.0,52477.70188549798,35.0,34.285714285714285,0.0014187735609143108,
interactive_sobol_256_20260110_155945.json,,,,,,,,3.695772516292927,0.6843434920247241,1.209457102398618,0.010185769458205308,2.87852017654991,30.76923076923077,39,1.7529771571775212,47.381698926832826,,0.0242607149263309,1.2529757299916946,0.027194378424801678,USDJPY_30m_cl_1.csv,USDJPY,30m,5764,sobol,20260110_155945:5764,16,15,10,26,10,0.015,0.0006,6,34,0.2,2.6,2.6,18,9,4,14,1.0,0.75,30,5,100,30,08:00,21:00,4,1.0,1.1,2.5,1.1,2.3,4,1.0,48,0.9,0.25,3,14,14,10,2,14,32,3,12,2,90,6,50000.0,51847.886258146464,39.0,30.76923076923077,0.0009569813010464416,
interactive_sobol_256_20260110_155945.json,,,,,,,,4.421806119608271,0.7920376089584011,1.3121436378105185,0.00945278977867809,2.479849633525268,41.17647058823529,34,2.2163112339040785,65.026560582475,,0.012691936901438142,1.3209565328635549,0.01696014539383072,USDJPY_30m_cl_2.csv,USDJPY,30m,7323,sobol,20260110_155945:7323,12,15,8,18,10,0.015,0.0006,14,55,0.2,3.0,2.0,18,9,4,14,0.8,0.75,30,5,100,30,08:00,22:00,2,1.0,1.1,1.9,1.1,2.3,3,0.8,144,0.9,0.25,3,14,14,10,2,14,32,3,12,2,70,7,50000.0,52210.903059804135,34.0,41.17647058823529,0.0012995895864033632,
interactive_sobol_256_20260110_155945.json,,,,,,,,3.489228007610378,0.7094729770920157,1.208307838259142,0.009416049555820927,2.9404082394993116,15.625,32,1.8832086582394714,54.51918761891277,,0.028453361763337643,1.2926612735608278,0.023197490681336353,USDJPY_30m_cl_1.csv,USDJPY,30m,5814,sobol,20260110_155945:5814,12,15,14,26,10,0.015,0.0006,12,34,0.2,3.0,2.3,18,17,6,14,0.8,0.75,30,5,100,30,07:00,21:00,2,1.6,1.1,1.9,1.1,2.3,4,0.8,48,1.2,0.25,2,14,14,10,2,14,32,3,12,2,28,5,50000.0,51744.61400380519,32.0,15.625,0.0011094044083237629,
interactive_sobol_256_20260110_155945.json,,,,,,,,2.965201992292612,0.5880367487762518,0.979512481873889,0.008178218555321158,2.878520176549931,30.555555555555557,36,1.6180510250726325,41.18336100406461,,0.025750429852475946,1.2045484125977455,0.02529994081813827,USDJPY_30m_cl_1.csv,USDJPY,30m,5809,sobol,20260110_155945:5809,16,15,10,22,10,0.015,0.0006,10,40,0.2,2.2,2.6,18,9,4,14,0.8,0.75,30,5,100,30,09:00,20:00,6,1.2,1.1,1.9,1.1,2.3,3,0.8,96,1.5,0.33,4,14,14,10,2,14,32,3,12,2,90,3,50000.0,51482.600996146306,36.0,30.555555555555557,0.0008466075482109046,
interactive_sobol_256_20260110_155945.json,,,,,,,,3.3343835706757674,0.6543797132220379,1.0954138415516597,0.008105263464004437,3.264843275414822,26.47058823529412,34,1.7290502956519338,49.03505250993773,,0.03174049410716621,1.2349036680711467,0.026049828502134355,USDJPY_30m_cl_1.csv,USDJPY,30m,5779,sobol,20260110_155945:5779,20,15,14,26,16,0.015,0.0006,14,40,0.2,3.0,2.3,18,9,2,14,1.2,0.75,30,5,100,30,09:00,20:00,4,1.2,1.1,2.2,1.1,2.3,4,1.2,144,1.2,0.5,3,14,14,10,2,14,32,3,12,2,28,6,50000.0,51667.19178533788,34.0,26.47058823529412,0.0010011798251824595,
interactive_sobol_256_20260110_155945.json,,,,,,,,4.2827075405551875,0.6891121286979929,1.1699557303459651,0.007889885527277558,2.8785201765499364,31.57894736842105,38,2.0133050417544167,56.351415007305036,,0.022375703931242257,1.3096484920215044,0.017667697846858926,USDJPY_30m_cl_2.csv,USDJPY,30m,7300,sobol,20260110_155945:7300,16,15,10,26,10,0.015,0.0006,6,34,0.2,2.6,2.6,18,9,4,14,1.0,0.75,30,5,100,30,08:00,21:00,4,1.0,1.1,2.5,1.1,2.3,4,1.0,48,0.9,0.25,3,14,14,10,2,14,32,3,12,2,90,6,50000.0,52141.353770277594,38.0,31.57894736842105,0.00113640590522888,
interactive_sobol_256_20260110_155945.json,,,,,,,,2.6952649020798707,0.4987774082222518,0.8235832147303969,0.007375502986296476,2.902021394271083,28.947368421052634,38,1.576623152449909,35.46401186947237,,0.02819570004369942,1.1663723952857,0.02815668962353009,USDJPY_30m_cl_1.csv,USDJPY,30m,5874,sobol,20260110_155945:5874,20,15,8,18,7,0.015,0.0006,10,34,0.2,2.2,2.3,18,9,2,14,0.8,0.75,30,5,100,30,07:00,21:00,2,1.4,1.1,1.9,1.1,2.6,3,1.2,48,0.9,0.5,3,14,14,10,2,14,32,3,12,2,90,4,50000.0,51347.632451039935,38.0,28.947368421052634,0.0007322961823195352,
