Chart: USDJPY_15m_cl_22
Path: data\charts_cl\USDJPY_15m_cl_22.csv
Bars: 16801 | Timeframe: 15m
Date-time range: 2025-03-11 00:00:00 → 2025-11-11 00:00:00
Total return: 4.62%
Regime segments: 1491 | stability: 0.911
Segment bars - avg: 11.3 | median: 7.0 | max: 139
Trend distribution (by bars): up 51.8% | range 0.0% | down 48.2%
Vol distribution (by bars):   low 33.0% | mid 33.0% | high 34.0%
Top regime transitions: trend_up_mid_vol -> trend_up_low_vol: 145 | trend_up_low_vol -> trend_up_mid_vol: 131 | trend_up_high_vol -> trend_up_mid_vol: 128 | trend_down_low_vol -> trend_down_mid_vol: 122 | trend_up_mid_vol -> trend_up_high_vol: 120
Regime duration (median bars): range_high_vol: 2 | trend_down_high_vol: 10 | trend_down_low_vol: 7 | trend_down_mid_vol: 6 | trend_up_high_vol: 7 | trend_up_low_vol: 10 | trend_up_mid_vol: 6
Top +3 segments by return:
  2025-05-12T08:00:00 → 2025-05-12T11:00:00 | trend_up_mid_vol     |    1.44% (13 bars)
  2025-10-03T21:00:00 → 2025-10-06T02:00:00 | trend_up_low_vol     |    1.21% (21 bars)
  2025-05-08T10:30:00 → 2025-05-09T00:00:00 | trend_up_high_vol    |    0.97% (55 bars)
Top -3 segments by return:
  2025-04-10T07:30:00 → 2025-04-11T17:45:00 | trend_down_high_vol  |   -2.12% (138 bars)
  2025-04-03T00:15:00 → 2025-04-04T05:30:00 | trend_down_high_vol  |   -1.76% (118 bars)
  2025-08-01T11:45:00 → 2025-08-01T16:45:00 | trend_down_mid_vol   |   -1.64% (21 bars)
Avg return per bar by regime (bps):
  trend_down_high_vol   : 1.003
  trend_down_low_vol    : 0.325
  trend_down_mid_vol    : 0.205
  trend_up_mid_vol      : -0.124
  trend_up_low_vol      : -0.262
  trend_up_high_vol     : -0.568
  range_high_vol        : -3.191

Detected regimes (contiguous segments):
              start                 end  bars              regime  close_start  close_end  return_pct
2025-03-11 00:00:00 2025-03-11 00:15:00     2      range_high_vol      147.273    147.179   -0.063827
2025-03-11 00:30:00 2025-03-11 07:00:00    27 trend_down_high_vol      147.134    147.141    0.004758
2025-03-11 07:15:00 2025-03-11 07:30:00     2   trend_up_high_vol      147.113    146.932   -0.123035
2025-03-11 07:45:00 2025-03-11 08:30:00     4 trend_down_high_vol      146.973    147.186    0.144925
2025-03-11 08:45:00 2025-03-11 10:45:00     9   trend_up_high_vol      147.227    146.941   -0.194258
2025-03-11 11:00:00 2025-03-11 11:15:00     2 trend_down_high_vol      147.117    147.166    0.033307
