Chart: USDJPY_15m_cl_3
Path: data\charts_cl\USDJPY_15m_cl_3.csv
Bars: 15648 | Timeframe: 15m
Date-time range: 2023-01-18 00:00:00 → 2023-09-01 23:45:00
Total return: 14.10%
Regime segments: 1367 | stability: 0.913
Segment bars - avg: 11.4 | median: 7.0 | max: 139
Trend distribution (by bars): up 53.7% | range 0.0% | down 46.3%
Vol distribution (by bars):   low 33.0% | mid 33.0% | high 34.0%
Top regime transitions: trend_up_mid_vol -> trend_up_low_vol: 136 | trend_up_high_vol -> trend_up_mid_vol: 122 | trend_up_low_vol -> trend_up_mid_vol: 117 | trend_down_low_vol -> trend_down_mid_vol: 117 | trend_down_mid_vol -> trend_down_high_vol: 107
Regime duration (median bars): range_high_vol: 2 | trend_down_high_vol: 11 | trend_down_low_vol: 8 | trend_down_mid_vol: 6 | trend_up_high_vol: 11 | trend_up_low_vol: 10 | trend_up_mid_vol: 6
Top +3 segments by return:
  2023-04-28T05:30:00 → 2023-04-28T21:45:00 | trend_up_high_vol    |    1.62% (66 bars)
  2023-02-03T15:00:00 → 2023-02-03T15:30:00 | trend_down_mid_vol   |    1.20% (3 bars)
  2023-02-24T09:45:00 → 2023-02-24T16:30:00 | trend_up_mid_vol     |    1.08% (28 bars)
Top -3 segments by return:
  2023-03-10T15:45:00 → 2023-03-14T02:15:00 | trend_down_high_vol  |   -2.20% (139 bars)
  2023-03-22T18:15:00 → 2023-03-23T12:00:00 | trend_down_high_vol  |   -1.08% (72 bars)
  2023-05-03T11:45:00 → 2023-05-04T03:15:00 | trend_down_high_vol  |   -0.90% (63 bars)
Avg return per bar by regime (bps):
  range_high_vol        : 1.561
  trend_down_high_vol   : 0.845
  trend_down_mid_vol    : 0.618
  trend_down_low_vol    : 0.163
  trend_up_mid_vol      : -0.232
  trend_up_high_vol     : -0.366
  trend_up_low_vol      : -0.509

Detected regimes (contiguous segments):
              start                 end  bars              regime  close_start  close_end  return_pct
2023-01-18 00:00:00 2023-01-18 00:15:00     2      range_high_vol      128.107    128.147    0.031224
2023-01-18 00:30:00 2023-01-18 12:30:00    49   trend_up_high_vol      128.179    129.160    0.765336
2023-01-18 12:45:00 2023-01-19 12:45:00    97 trend_down_high_vol      129.183    128.504   -0.525611
2023-01-19 13:00:00 2023-01-19 22:00:00    37   trend_up_high_vol      128.576    128.329   -0.192104
2023-01-19 22:15:00 2023-01-19 22:15:00     1 trend_down_high_vol      128.371    128.371    0.000000
2023-01-19 22:30:00 2023-01-20 01:30:00    13  trend_down_mid_vol      128.439    128.421   -0.014014
2023-01-20 01:45:00 2023-01-20 02:15:00     3  trend_down_low_vol      128.373    128.582    0.162807
2023-01-20 02:30:00 2023-01-20 03:15:00     4    trend_up_low_vol      128.598    128.566   -0.024884
2023-01-20 03:30:00 2023-01-20 06:15:00    12    trend_up_mid_vol      128.731    128.987    0.198864
2023-01-20 06:30:00 2023-01-20 08:30:00     9   trend_up_high_vol      128.986    129.101    0.089157
2023-01-20 08:45:00 2023-01-20 08:45:00     1    trend_up_mid_vol      129.167    129.167    0.000000
2023-01-20 09:00:00 2023-01-20 20:00:00    45   trend_up_high_vol      129.087    129.582    0.383462
2023-01-20 20:15:00 2023-01-20 22:45:00    11 trend_down_high_vol      129.594    129.582   -0.009260
2023-01-20 23:00:00 2023-01-23 02:45:00    16  trend_down_mid_vol      129.584    129.277   -0.236912
2023-01-23 03:00:00 2023-01-23 06:30:00    15 trend_down_high_vol      129.155    129.653    0.385583
2023-01-23 06:45:00 2023-01-23 20:45:00    57   trend_up_high_vol      129.589    130.653    0.821057
2023-01-23 21:00:00 2023-01-23 23:00:00     9    trend_up_mid_vol      130.624    130.681    0.043637
2023-01-23 23:15:00 2023-01-24 01:30:00    10    trend_up_low_vol      130.668    130.499   -0.129335
2023-01-24 01:45:00 2023-01-24 02:30:00     4  trend_down_low_vol      130.597    130.373   -0.171520
2023-01-24 02:45:00 2023-01-24 04:30:00     8  trend_down_mid_vol      130.391    130.396    0.003835
2023-01-24 04:45:00 2023-01-24 07:45:00    13 trend_down_high_vol      130.314    130.142   -0.131989
2023-01-24 08:00:00 2023-01-24 10:00:00     9  trend_down_mid_vol      130.109    129.980   -0.099148
2023-01-24 10:15:00 2023-01-24 13:15:00    13 trend_down_high_vol      130.035    130.276    0.185335
2023-01-24 13:30:00 2023-01-24 18:15:00    20   trend_up_high_vol      130.207    129.916   -0.223490
2023-01-24 18:30:00 2023-01-24 22:00:00    15 trend_down_high_vol      130.032    130.118    0.066138
2023-01-24 22:15:00 2023-01-24 22:45:00     3  trend_down_mid_vol      130.102    130.155    0.040737
