Chart: USDJPY_15m_cl_9
Path: data\charts_cl\USDJPY_15m_cl_9.csv
Bars: 29566 | Timeframe: 15m
Date-time range: 2024-03-04 00:00:00 → 2025-05-09 23:45:00
Total return: -3.15%
Regime segments: 2144 | stability: 0.927
Segment bars - avg: 13.8 | median: 9.0 | max: 172
Trend distribution (by bars): up 53.6% | range 0.0% | down 46.4%
Vol distribution (by bars):   low 33.0% | mid 33.0% | high 34.0%
Top regime transitions: trend_up_low_vol -> trend_down_low_vol: 181 | trend_up_high_vol -> trend_up_mid_vol: 179 | trend_down_mid_vol -> trend_down_high_vol: 177 | trend_up_mid_vol -> trend_up_low_vol: 163 | trend_down_low_vol -> trend_up_low_vol: 162
Regime duration (median bars): range_low_vol: 2 | trend_down_high_vol: 14 | trend_down_low_vol: 8 | trend_down_mid_vol: 7 | trend_up_high_vol: 9 | trend_up_low_vol: 12 | trend_up_mid_vol: 8
Top +3 segments by return:
  2024-10-02T06:30:00 → 2024-10-02T21:45:00 | trend_up_high_vol    |    1.53% (62 bars)
  2024-10-04T13:00:00 → 2024-10-04T17:15:00 | trend_up_mid_vol     |    1.42% (18 bars)
  2024-08-06T23:30:00 → 2024-08-07T04:30:00 | trend_down_high_vol  |    1.25% (21 bars)
Top -3 segments by return:
  2024-08-01T19:30:00 → 2024-08-05T00:30:00 | trend_down_high_vol  |   -2.26% (117 bars)
  2024-05-01T21:00:00 → 2024-05-01T23:30:00 | trend_down_mid_vol   |   -2.15% (11 bars)
  2025-04-10T07:30:00 → 2025-04-11T17:45:00 | trend_down_high_vol  |   -2.12% (138 bars)
Avg return per bar by regime (bps):
  trend_down_high_vol   : 0.781
  trend_down_low_vol    : 0.518
  trend_down_mid_vol    : 0.378
  range_low_vol         : 0.033
  trend_up_low_vol      : -0.241
  trend_up_mid_vol      : -0.301
  trend_up_high_vol     : -0.817

Detected regimes (contiguous segments):
              start                 end  bars              regime  close_start  close_end  return_pct
2024-03-04 00:00:00 2024-03-04 00:15:00     2       range_low_vol      150.079    150.080    0.000666
2024-03-04 00:30:00 2024-03-04 02:15:00     8    trend_up_low_vol      150.109    149.975   -0.089268
2024-03-04 02:30:00 2024-03-04 04:00:00     7  trend_down_low_vol      149.872    150.118    0.164140
2024-03-04 04:15:00 2024-03-05 01:00:00    84    trend_up_low_vol      150.155    150.428    0.181812
2024-03-05 01:15:00 2024-03-05 04:45:00    15  trend_down_low_vol      150.435    150.497    0.041214
2024-03-05 05:00:00 2024-03-05 09:30:00    19    trend_up_low_vol      150.480    150.437   -0.028575
2024-03-05 09:45:00 2024-03-05 18:00:00    34  trend_down_low_vol      150.420    150.135   -0.189469
2024-03-05 18:15:00 2024-03-05 21:30:00    14  trend_down_mid_vol      150.127    149.954   -0.115236
2024-03-05 21:45:00 2024-03-06 11:15:00    55  trend_down_low_vol      149.935    149.798   -0.091373
2024-03-06 11:30:00 2024-03-06 18:30:00    29  trend_down_mid_vol      149.723    149.304   -0.279850
2024-03-06 18:45:00 2024-03-06 20:15:00     7 trend_down_high_vol      149.177    149.247    0.046924
2024-03-06 20:30:00 2024-03-06 23:00:00    11  trend_down_mid_vol      149.225    149.397    0.115262
2024-03-06 23:15:00 2024-03-07 03:45:00    19  trend_down_low_vol      149.440    148.618   -0.550054
2024-03-07 04:00:00 2024-03-07 05:45:00     8  trend_down_mid_vol      148.753    148.668   -0.057142
2024-03-07 06:00:00 2024-03-07 07:00:00     5 trend_down_high_vol      148.528    148.580    0.035010
2024-03-07 07:15:00 2024-03-07 09:30:00    10  trend_down_mid_vol      148.541    148.141   -0.269286
2024-03-07 09:45:00 2024-03-07 13:30:00    16 trend_down_high_vol      147.940    147.803   -0.092605
2024-03-07 13:45:00 2024-03-07 17:00:00    14  trend_down_mid_vol      147.840    148.181    0.230655
2024-03-07 17:15:00 2024-03-07 17:15:00     1 trend_down_high_vol      148.240    148.240    0.000000
2024-03-07 17:30:00 2024-03-07 21:15:00    16   trend_up_high_vol      148.114    148.060   -0.036458
2024-03-07 21:30:00 2024-03-07 21:45:00     2    trend_up_mid_vol      148.025    148.006   -0.012836
2024-03-07 22:00:00 2024-03-07 22:30:00     3  trend_down_low_vol      148.041    148.098    0.038503
