Chart: USDJPY_30m_cl_26
Path: data\charts_cl\USDJPY_30m_cl_26.csv
Bars: 14352 | Timeframe: 30m
Date-time range: 2023-11-24 00:00:00 → 2025-01-22 00:00:00
Total return: 3.96%
Regime segments: 1095 | stability: 0.924
Segment bars - avg: 13.1 | median: 8.0 | max: 146
Trend distribution (by bars): up 56.7% | range 0.0% | down 43.2%
Vol distribution (by bars):   low 33.0% | mid 33.0% | high 34.0%
Top regime transitions: trend_up_mid_vol -> trend_up_low_vol: 106 | trend_down_mid_vol -> trend_down_high_vol: 101 | trend_down_high_vol -> trend_down_mid_vol: 94 | trend_up_high_vol -> trend_up_mid_vol: 93 | trend_up_low_vol -> trend_down_low_vol: 87
Regime duration (median bars): range_low_vol: 2 | trend_down_high_vol: 11 | trend_down_low_vol: 7 | trend_down_mid_vol: 6 | trend_up_high_vol: 9 | trend_up_low_vol: 11 | trend_up_mid_vol: 7
Top +3 segments by return:
  2024-10-02T04:00:00 → 2024-10-03T02:00:00 | trend_up_high_vol    |    1.87% (45 bars)
  2024-08-07T00:30:00 → 2024-08-07T04:30:00 | trend_down_high_vol  |    1.56% (9 bars)
  2024-10-04T06:00:00 → 2024-10-04T15:30:00 | trend_down_mid_vol   |    1.52% (20 bars)
Top -3 segments by return:
  2024-08-01T19:30:00 → 2024-08-06T00:00:00 | trend_down_high_vol  |   -3.85% (106 bars)
  2024-07-30T19:00:00 → 2024-08-01T16:00:00 | trend_down_high_vol  |   -1.91% (91 bars)
  2024-07-11T12:00:00 → 2024-07-11T20:30:00 | trend_down_low_vol   |   -1.66% (18 bars)
Avg return per bar by regime (bps):
  trend_down_high_vol   : 0.894
  trend_down_low_vol    : 0.518
  trend_down_mid_vol    : 0.243
  trend_up_high_vol     : -0.093
  trend_up_mid_vol      : -0.143
  trend_up_low_vol      : -0.260
  range_low_vol         : -1.739

Detected regimes (contiguous segments):
              start                 end  bars              regime  close_start  close_end  return_pct
2023-11-24 00:00:00 2023-11-24 00:30:00     2       range_low_vol      149.524    149.472   -0.034777
