fold_id,bars_total,bars_train,bars_embargo,bars_val,val_start,val_end,total_return,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown,win_rate,total_trades,profit_factor,expectancy,avg_hold_hours,ulcer_index,omega_0,omega_fees,calmar_robust,val_days,cagr_adj,maxdd_obs_frac,dd_floor,dd_adj,chart,trial_id,method,param_fast_min_len,param_fast_max_len,param_slow_min_len,param_slow_max_len,param_dma_atr_len,param_atr_len,param_upper_outer_mult,param_lower_outer_mult,param_upper_inner_mult,param_lower_inner_mult,param_momentum_len,param_momentum_threshold,trial_uid
5,5623,3686,450,1034,2025-02-03 01:00:00,2025-06-04 06:00:00,6.53900466002386,9.522483815804552,14.461824366916188,330.4688557337864,2.286071352686664,100.0,131,inf,0.4983215428933132,,0.004424489298229233,1.2850322744267086,0.3075438472429833,4.908902594073195,121,0.11222101593439984,0.022860713526866642,0.02,0.022860713526866642,chart_cl_4.csv,594,sobol,9,20,31,144,20,14,2.8,2.0,1.6,1.4000000000000001,30,0.8,20250908_232927:594
5,5623,3686,450,1034,2025-02-03 01:00:00,2025-06-04 06:00:00,5.37817531205404,8.788729883765011,13.407947619221435,235.82179246208176,2.07852359321801,100.0,153,inf,0.3528741086891087,,0.003057020750092819,1.2976064492838917,0.2614749290265994,4.4204179502059855,121,0.09187943001387536,0.0207852359321801,0.02,0.0207852359321801,chart_cl_4.csv,534,sobol,10,24,50,119,10,15,2.2,2.3,1.2000000000000002,0.9,33,0.85,20250908_232927:534
5,5623,3686,450,1034,2025-02-03 01:00:00,2025-06-04 06:00:00,5.096488129657045,10.989098607368453,16.73831038018994,279.9535491480168,1.5680653492463916,100.0,143,inf,0.35468465905982655,,0.002397852051600864,1.4087061630205509,0.19046055685773638,4.348532495683913,121,0.08697064991367827,0.015680653492463916,0.02,0.02,chart_cl_4.csv,470,sobol,9,26,54,74,13,19,2.7,2.5,1.5,0.9,30,0.8,20250908_232927:470
3,2108,238,432,335,2023-04-22 21:00:00,2023-05-20 17:00:00,7.346990365031224,7.054072846036675,14.710109052469775,89.18963644365749,1.7118269686862313,100.0,16,inf,3.2442441934954567,,0.002878583053639984,1.8119685346632879,0.563369413988056,4.265003160460857,27,0.08530006320921714,0.017118269686862312,0.02,0.02,chart_cl_1.csv,94,sobol,9,20,31,144,20,14,2.8,2.0,1.6,1.4000000000000001,30,0.8,20250908_232927:94
5,5623,3686,450,1034,2025-02-03 01:00:00,2025-06-04 06:00:00,4.6682752729759285,9.268391874153576,14.233334821696555,233.2577025535592,1.5834071584171965,100.0,111,inf,0.42308032273743623,,0.0025210397475351654,1.337940211078824,0.20541610324930934,3.976444827597587,121,0.07952889655195175,0.015834071584171966,0.02,0.02,chart_cl_4.csv,618,sobol,13,22,42,149,18,17,2.5,2.3,1.2000000000000002,0.9,29,0.8,20250908_232927:618
5,5623,3686,450,1034,2025-02-03 01:00:00,2025-06-04 06:00:00,5.2050141337357125,8.480205745867055,12.76310069361808,203.67309177331742,2.2495378992209636,98.70967741935483,156,117.53869656146605,0.33447416205534125,,0.004083164764361843,1.2576798043042379,0.26699135067580376,3.9501712356335825,121,0.08886059902970248,0.022495378992209637,0.02,0.022495378992209637,chart_cl_4.csv,514,sobol,7,19,59,112,19,18,2.3,1.8,1.1,0.8,23,0.85,20250908_232927:514
5,2775,1585,351,484,2025-04-21 02:00:00,2025-06-16 10:00:00,5.4515742534850125,15.860787698820257,24.55012697777763,2589.5079529990776,1.763357097832803,100.0,59,inf,0.9252333020689841,,0.003351501886302083,1.4811909201684181,0.38235172874082674,3.6200403734821376,56,0.07240080746964275,0.01763357097832803,0.02,0.02,chart_cl_3.csv,466,sobol,10,21,47,117,20,11,2.0,2.1,1.5,1.3,22,0.8,20250908_232927:466
5,5623,3686,450,1034,2025-02-03 01:00:00,2025-06-04 06:00:00,5.298575001962149,9.067293042721621,13.644466504373172,178.98552794450768,2.655188467557669,99.28571428571429,141,1958.776978395715,0.3723430770386983,,0.0035238894901166305,1.299774460281264,0.2517463158631987,3.4080897351748445,121,0.09049120561237917,0.02655188467557669,0.02,0.02655188467557669,chart_cl_4.csv,518,sobol,6,28,46,125,19,16,2.6,2.4000000000000004,1.5,1.6,48,0.85,20250908_232927:518
5,5623,3686,450,1034,2025-02-03 01:00:00,2025-06-04 06:00:00,4.7765450351567935,7.040854391298211,10.382185754985061,157.41016730429922,2.452682132484108,96.7479674796748,124,27.532223260132525,0.35943351364840526,,0.005140594125054148,1.183739302857571,0.3051672384619385,3.3191479305379934,121,0.0814081482430214,0.02452682132484108,0.02,0.02452682132484108,chart_cl_4.csv,546,sobol,6,21,37,92,12,11,2.8,2.0,1.6,1.0,50,0.75,20250908_232927:546
5,2775,1680,300,495,2025-04-24 18:00:00,2025-06-23 02:00:00,4.886506617860434,17.41418901254175,26.799758054348832,1810.3106312015755,1.5626356649233317,100.0,66,inf,0.7475809040624385,,0.001956646744663308,1.611011587220772,0.2928864676010918,3.28323075098671,59,0.0656646150197342,0.015626356649233317,0.02,0.02,chart_cl_3.csv,287,sobol,9,26,54,74,13,19,2.7,2.5,1.5,0.9,30,0.8,20250908_232927:287
3,5623,1618,450,1034,2024-06-03 00:00:00,2024-10-01 08:00:00,3.750310884695647,12.69334117815901,20.398276648701735,429.8099937710002,0.5774967032764744,100.0,113,inf,0.3348471136152484,,0.0010640653402954152,1.4697806963240727,0.09981434617971978,3.172141843019253,120,0.06344283686038506,0.005774967032764744,0.02,0.02,chart_cl_4.csv,592,sobol,9,20,31,144,20,14,2.8,2.0,1.6,1.4000000000000001,30,0.8,20250908_232927:592
3,5623,1618,450,1034,2024-06-03 00:00:00,2024-10-01 08:00:00,3.724522337882196,8.533000314543887,11.805627832564808,131.64664697836676,1.8632659147872033,95.95959595959596,100,33.02644240085184,0.3760480423794172,,0.0038196613545328486,1.2408367461563796,0.1655591543460841,3.150008837053101,120,0.06300017674106202,0.018632659147872033,0.02,0.02,chart_cl_4.csv,544,sobol,6,21,37,92,12,11,2.8,2.0,1.6,1.0,50,0.75,20250908_232927:544
