fold_id,bars_total,bars_train,bars_embargo,bars_val,val_start,val_end,total_return,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown,win_rate,total_trades,profit_factor,expectancy,avg_hold_hours,ulcer_index,omega_0,omega_fees,calmar_robust,val_days,cagr_adj,maxdd_obs_frac,dd_floor,dd_adj,chart,trial_id,trial_uid,method,param_fast_min_len,param_fast_max_len,param_slow_min_len,param_slow_max_len,param_dma_atr_len,param_atr_len,param_upper_outer_mult,param_lower_outer_mult,param_upper_inner_mult,param_lower_inner_mult,param_momentum_len,param_momentum_threshold
5,2108,904,300,301,2023-06-06 09:00:00,2023-07-01 09:00:00,3.5442814725661727,2.9272573257192462,4.582114530527971,27.53046623161634,2.3973378718856355,100.0,11,inf,1.6788973740678266,,0.009337712627705202,1.1802851754364536,0.6299596817569181,1.6910381979734557,25,0.04053989914807005,0.023973378718856356,0.02,0.023973378718856356,chart_cl_1.csv,35,20250830_161028:35,grid,8.0,21,22,39,12,15,3.4000000000000004,2.3000000000000003,2.1,1.9,15,0.6000000000000001
5,2108,904,300,301,2023-06-06 09:00:00,2023-07-01 09:00:00,3.3419302476077135,5.205648281176726,7.511180952764642,51.50130323030765,1.1910621469034517,100.0,12,inf,1.162790310682498,,0.004261136587147808,1.3730023104792786,0.3986726406871721,1.9107995144570844,25,0.03821599028914169,0.011910621469034518,0.02,0.02,chart_cl_1.csv,3,20250830_161028:3,grid,8.0,21,26,46,10,15,3.4000000000000004,2.6,2.1,1.6,10,0.85
3,2108,302,300,301,2023-04-17 05:00:00,2023-05-12 05:00:00,2.6957797007893185,4.09191578579922,6.907252400994748,32.801266373659885,1.4410332657027984,100.0,16,inf,0.7308790293622506,,0.00520289431418236,1.3802478547890555,0.346849424062925,1.5401434603072388,25,0.03080286920614478,0.014410332657027984,0.02,0.02,chart_cl_1.csv,29,20250830_161028:29,grid,6.5,22,15,43,9,9,3.5,2.5,2.0,2.1,15,0.8
3,2108,302,300,301,2023-04-17 05:00:00,2023-05-12 05:00:00,1.7635200716879602,2.3787339096145614,3.805435851380027,12.192566552543617,2.3757459215317303,100.0,10,inf,0.9222823919823825,,0.009205296901277958,1.1493575554270525,0.4345134491975386,0.8472172236126271,25,0.020127728636491347,0.023757459215317304,0.02,0.023757459215317304,chart_cl_1.csv,33,20250830_161028:33,grid,8.0,21,22,39,12,15,3.4000000000000004,2.3000000000000003,2.1,1.9,15,0.6000000000000001
3,2108,302,300,301,2023-04-17 05:00:00,2023-05-12 05:00:00,1.6359158658147979,4.157773030761918,7.007994641606326,30.992031415767098,0.8593543846665115,100.0,17,inf,0.4135924310719027,,0.003095242631246266,1.3876732272366585,0.20176723715006228,0.9334216879778867,25,0.018668433759557734,0.008593543846665115,0.02,0.02,chart_cl_1.csv,21,20250830_161028:21,grid,11.5,19,23,40,9,12,2.3000000000000003,2.5,1.8,2.1,14,0.7000000000000001
5,2108,904,300,301,2023-06-06 09:00:00,2023-07-01 09:00:00,1.5315891093028018,1.2435774710971046,1.944542488564745,8.328192476118824,2.972403657049417,87.5,9,13.06145172953591,1.0490214242616571,,0.009970320008886271,1.083397606721278,0.5741975497565438,0.5879308558935028,25,0.017475678261500417,0.02972403657049417,0.02,0.02972403657049417,chart_cl_1.csv,11,20250830_161028:11,grid,11.5,19,25,52,8,11,3.1,2.7,1.9,1.8,16,0.55
6,2108,1205,300,301,2023-07-01 11:00:00,2023-07-26 11:00:00,1.3779626242182594,1.484434893441913,2.0313016903139425,6.234917256994574,3.5342758065868116,44.44444444444444,10,6.335239592241029,0.6057660144174518,,0.018719493109902105,1.0919187231155194,0.48609454776405053,0.4447823553898342,25,0.015719835178509882,0.03534275806586812,0.028079239664853158,0.03534275806586812,chart_cl_1.csv,24,20250830_161028:24,grid,11.5,19,23,40,9,12,2.3000000000000003,2.5,1.8,2.1,14,0.7000000000000001
6,2108,1205,300,301,2023-07-01 11:00:00,2023-07-26 11:00:00,1.2523121365279426,1.359826907849473,1.8552516912294594,5.617367652082502,3.5342758065868116,40.0,11,4.297275270468,0.4967279089130596,,0.018731723073668216,1.083945245506413,0.48149348820816856,0.40416272822169796,25,0.01428422552278068,0.03534275806586812,0.028097584610502324,0.03534275806586812,chart_cl_1.csv,32,20250830_161028:32,grid,6.5,22,15,43,9,9,3.5,2.5,2.0,2.1,15,0.8
5,2108,904,300,301,2023-06-06 09:00:00,2023-07-01 09:00:00,1.2188360546836368,1.2685927935226835,1.9654179894215966,7.957896003392763,2.4224995673895675,72.72727272727273,12,6.955145190646003,0.7066156558722511,,0.008334546166412878,1.0842695908750748,0.49163649096524614,0.5738626905832125,25,0.013901821196788455,0.024224995673895675,0.02,0.024224995673895675,chart_cl_1.csv,39,20250830_161028:39,grid,9.0,21,25,44,8,12,3.4000000000000004,2.2,1.5,2.1,16,0.55
5,2108,904,300,301,2023-06-06 09:00:00,2023-07-01 09:00:00,0.22504708110084293,0.520587733083615,0.9101636752688583,3.0074517869789905,1.1056471431452781,85.71428571428571,8,2.8884730780413888,0.15751880462163154,,0.00357899797426452,1.0538360276811998,0.17871020998152012,0.12818698103569978,25,0.0025637396207139956,0.011056471431452781,0.02,0.02,chart_cl_1.csv,19,20250830_161028:19,grid,9.0,20,18,50,14,12,3.0,2.8000000000000003,1.6,1.8,16,0.7000000000000001
