fold_id,bars_total,bars_train,bars_embargo,bars_val,val_start,val_end,total_return,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown,win_rate,total_trades,profit_factor,expectancy,avg_hold_hours,ulcer_index,omega_0,omega_fees,calmar_robust,val_days,cagr_adj,maxdd_obs_frac,dd_floor,dd_adj,chart,trial_id,trial_uid,method,param_fast_min_len,param_fast_max_len,param_slow_min_len,param_slow_max_len,param_dma_atr_len,param_atr_len,param_upper_outer_mult,param_lower_outer_mult,param_upper_inner_mult,param_lower_inner_mult,param_momentum_len,param_momentum_threshold
2,2108,152,300,452,2023-04-04 17:00:00,2023-05-12 07:00:00,4.427914042397495,2.95671962191686,4.597877650234046,16.25043976991128,3.2105652233360455,90.9090909090909,23,23.34278939131637,2.01688906596874,,0.022532501205326152,1.211416935361907,0.5222928084570021,1.5913009140492609,37,0.05378398464577736,0.032105652233360454,0.033798751807989226,0.033798751807989226,chart_cl_1.csv,355,20250831_140542:355,grid,12,22,27,28,15,8,2.6,2.6,1.9,1.6,11,0.6000000000000001
4,5623,3331,506,1279,2024-12-27 01:00:00,2025-05-28 18:00:00,4.069453150360812,6.303096573189152,8.755855200461546,45.535125905383055,4.3540066169515415,85.1063829787234,48,9.726286488224202,0.8354997780085762,,0.014756942424920247,1.1629678685199214,0.20036787939336895,1.7560203092978273,152,0.07645724046184033,0.04354006616951542,0.02213541363738037,0.04354006616951542,chart_cl_4.csv,1936,20250831_140542:1936,grid,7,22,21,31,14,8,2.6,2.9,1.6,1.6,22,0.55
2,2108,152,300,452,2023-04-04 17:00:00,2023-05-12 07:00:00,3.8080897224769297,2.032915454674118,3.1893686299198882,8.64295476148824,5.049552503338446,68.42105263157895,20,14.108699255467537,2.188168663456535,,0.025003319813933153,1.1226790610430009,0.603428317243923,0.9150657318878558,37,0.0462067245717355,0.05049552503338446,0.03750497972089973,0.05049552503338446,chart_cl_1.csv,142,20250831_140542:142,grid,12,22,28,29,15,8,2.6,2.6,1.9,1.6,22,0.6000000000000001
2,2108,152,300,452,2023-04-04 17:00:00,2023-05-12 07:00:00,3.7858262937752256,2.0311708824298402,3.1890635525017728,8.583890662537423,5.049552503338446,65.0,21,15.125796794139323,2.065878763042179,,0.025054986991930574,1.1241136607003412,0.5995610999163243,0.9096816258816258,37,0.04593485131211551,0.05049552503338446,0.037582480487895864,0.05049552503338446,chart_cl_1.csv,547,20250831_140542:547,grid,12,22,27,32,14,8,2.6,3.3,2.2,1.6,22,0.55
4,5623,3331,506,1279,2024-12-27 01:00:00,2025-05-28 18:00:00,3.749519885244996,5.15735847998253,7.296375547281328,38.37118135449555,4.538122732457365,80.0,51,7.504746635115219,0.7683481169642775,,0.01931456985811888,1.13134111878642,0.2259025914380101,1.5500904517281877,152,0.07034500716352796,0.045381227324573656,0.02897185478717832,0.045381227324573656,chart_cl_4.csv,1615,20250831_140542:1615,grid,12,22,24,30,11,8,2.6,3.3,2.2,1.6,10,0.55
2,2108,152,300,452,2023-04-04 17:00:00,2023-05-12 07:00:00,3.680690852293358,1.9668502035276605,3.080552848686706,8.306453270390197,5.049552503338446,68.42105263157895,20,13.707009476532594,2.1211166265178116,,0.0253451977608711,1.1183588933259785,0.6019366877623394,0.8842615084558295,37,0.04465124913628964,0.05049552503338446,0.038017796641306646,0.05049552503338446,chart_cl_1.csv,91,20250831_140542:91,grid,12,22,23,34,11,8,2.6,3.3,1.9,1.6,22,0.55
2,2108,152,300,452,2023-04-04 17:00:00,2023-05-12 07:00:00,3.680690852293358,1.9668502035276605,3.080552848686706,8.306453270390197,5.049552503338446,68.42105263157895,20,13.707009476532594,2.1211166265178116,,0.0253451977608711,1.1183588933259785,0.6019366877623394,0.8842615084558295,37,0.04465124913628964,0.05049552503338446,0.038017796641306646,0.05049552503338446,chart_cl_1.csv,550,20250831_140542:550,grid,7,22,25,34,15,8,2.6,2.9,1.6,1.6,22,0.55
2,2108,152,300,452,2023-04-04 17:00:00,2023-05-12 07:00:00,3.680690852293358,1.9668502035276605,3.080552848686706,8.306453270390197,5.049552503338446,68.42105263157895,20,13.707009476532594,2.1211166265178116,,0.0253451977608711,1.1183588933259785,0.6019366877623394,0.8842615084558295,37,0.04465124913628964,0.05049552503338446,0.038017796641306646,0.05049552503338446,chart_cl_1.csv,199,20250831_140542:199,grid,7,22,28,33,13,8,2.6,2.6,2.2,1.6,22,0.6000000000000001
4,5623,3331,506,1279,2024-12-27 01:00:00,2025-05-28 18:00:00,3.6327199563071044,9.24184550778972,13.40443433922678,102.45472420107998,1.6183012491678694,91.48936170212765,48,16.10583253138998,0.7422205480830717,,0.005482933705837815,1.256805877166514,0.11187825747687465,3.4058942777805608,152,0.06811788555561121,0.016183012491678694,0.02,0.02,chart_cl_4.csv,1957,20250831_140542:1957,grid,10,22,27,27,12,8,2.6,2.9,1.9,1.6,18,0.55
4,5623,3331,506,1279,2024-12-27 01:00:00,2025-05-28 18:00:00,3.5608736533065497,8.350758766565166,12.003825259712492,78.51927913987161,2.047905398054301,86.27450980392157,52,13.820919275622433,0.6788679671758873,,0.007144577621992506,1.2040138179094289,0.12054806874095421,3.2593828206263002,152,0.06674907672686055,0.020479053980543012,0.02,0.020479053980543012,chart_cl_4.csv,2017,20250831_140542:2017,grid,10,22,25,28,15,8,2.6,2.6,1.9,1.6,19,0.55
