fold_id,bars_total,bars_train,bars_embargo,bars_val,val_start,val_end,total_return,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown,win_rate,total_trades,profit_factor,expectancy,avg_hold_hours,ulcer_index,omega_0,omega_fees,calmar_robust,val_days,cagr_adj,maxdd_obs_frac,dd_floor,dd_adj,chart,trial_id,trial_uid,method,param_fast_min_len,param_fast_max_len,param_slow_min_len,param_slow_max_len,param_dma_atr_len,param_atr_len,param_upper_outer_mult,param_lower_outer_mult,param_upper_inner_mult,param_lower_inner_mult,param_momentum_len,param_momentum_threshold
5,3355,1975,393,592,2025-08-22 17:00:00,2025-08-28 20:45:00,1.2538718169979801,11.03883304015946,18.154891862845336,233.33656340796904,0.46747519259609654,100.0,2,inf,1.0854095093150542,,0.0013633368557354555,1.2489300099867209,0.04889419033758282,0.6480958045378701,6,0.012961916090757402,0.0046747519259609654,0.02,0.02,XAUUSDT_15m_cl_1.csv,98,20250901_234702:98,sobol,8,28,45,131,18,10,1.9000000000000001,2.6,1.1,1.0,13,0.85
5,3355,1894,438,583,2025-08-22 08:00:00,2025-08-28 09:30:00,1.1567991951335899,9.322569395978105,17.22601211241712,222.99982503479382,0.4467572279025691,100.0,9,inf,1.2077757629409476,,0.0015480333117352577,1.2345780326273958,0.056412487818846745,0.5979026148819955,6,0.01195805229763991,0.004467572279025691,0.02,0.02,XAUUSDT_15m_cl_1.csv,19,20250901_234702:19,sobol,7,25,39,146,12,19,2.9000000000000004,2.2,1.0,1.3,20,0.85
5,3355,2144,300,611,2025-08-23 12:00:00,2025-08-29 20:30:00,1.0028004424199537,8.980383231808357,14.081083222949228,183.4557815715432,0.420924675074689,100.0,6,inf,1.2166352724207363,,0.0014420890657455157,1.1800688167243938,0.04024287399097926,0.5182811633715209,6,0.010365623267430417,0.00420924675074689,0.02,0.02,XAUUSDT_15m_cl_1.csv,35,20250901_234702:35,sobol,9,23,33,95,16,17,3.0,2.1,0.9,1.1,18,0.8
5,3355,1992,384,594,2025-08-22 19:00:00,2025-08-28 23:15:00,0.9524225412491205,9.593908007543384,15.224502978923072,177.96197077798965,0.4210044573637831,,1,,,,0.0011611052141772672,1.2188587975241192,0.034701737147505816,0.49223616442822554,6,0.00984472328856451,0.004210044573637831,0.02,0.02,XAUUSDT_15m_cl_1.csv,8,20250901_234702:8,sobol,11,20,44,128,15,12,2.2,1.9000000000000001,1.1,1.4000000000000001,13,0.6
5,3355,2009,375,596,2025-08-22 21:00:00,2025-08-29 01:45:00,0.8799962445814913,11.926518386768626,18.692395135605636,217.36085210881967,0.30999703865884487,0.0,2,0.0,-0.21102209794305601,,0.0006022307631225896,1.4189369379964443,0.02141818131802413,0.4547937919321787,6,0.009095875838643575,0.003099970386588449,0.02,0.02,XAUUSDT_15m_cl_1.csv,51,20250901_234702:51,sobol,6,28,46,125,19,16,2.6,2.4000000000000004,1.5,1.6,48,0.85
4,3355,1527,303,610,2025-08-17 02:30:00,2025-08-23 10:45:00,0.8288709356170672,7.854873527122562,16.564256103854273,123.85705300158918,0.48981348597523866,85.71428571428571,15,9.869759305961843,0.12275482573398173,,0.0014704371759226348,1.2557393487902324,0.037768883644250496,0.4283644879068079,6,0.008567289758136159,0.004898134859752387,0.02,0.02,XAUUSDT_15m_cl_1.csv,81,20250901_234702:81,sobol,7,25,36,101,15,13,1.8,2.7,1.2000000000000002,1.3,22,0.75
5,3355,1877,447,581,2025-08-22 06:00:00,2025-08-28 07:00:00,0.8246574591024569,8.307596747733617,18.099272056238103,141.3022486779246,0.45364218946788637,100.0,21,inf,0.39867544597859694,,0.0013717104542779444,1.2893213405963972,0.04100600032893164,0.4261863638570755,6,0.00852372727714151,0.004536421894678864,0.02,0.02,XAUUSDT_15m_cl_1.csv,74,20250901_234702:74,sobol,14,27,60,149,16,20,1.9000000000000001,2.5,1.0,1.6,25,0.65
5,3355,2137,303,610,2025-08-23 11:00:00,2025-08-29 19:15:00,0.8098117878960353,7.645174265520518,11.97448398532047,139.9784404667507,0.4210048045540277,,1,,,,0.0013420624523781555,1.1516031883898659,0.03452346961408097,0.41851205626825205,6,0.008370241125365042,0.004210048045540277,0.02,0.02,XAUUSDT_15m_cl_1.csv,82,20250901_234702:82,sobol,7,25,36,101,15,13,1.8,2.7,1.2000000000000002,1.3,22,0.75
4,3355,1533,300,611,2025-08-17 03:15:00,2025-08-23 11:45:00,0.7083218142875694,10.25079717568953,18.93962836540926,78.27507380780825,0.6374620822023366,69.23076923076923,27,5.090696981641572,0.1127128720919647,,0.002879310822332126,1.2542747559000351,0.01714542323569583,0.3660498906806779,6,0.007320997813613558,0.006374620822023366,0.02,0.02,XAUUSDT_15m_cl_1.csv,89,20250901_234702:89,sobol,12,22,42,71,20,18,2.3,2.1,1.3,1.2000000000000002,36,0.7
5,3355,1938,414,588,2025-08-22 13:00:00,2025-08-28 15:45:00,0.6165010100619611,6.729763798802053,10.592168426236514,105.08930089303524,0.42090400053264637,,1,,,,0.0011696535470938894,1.15233539590565,0.027599312565508224,0.3185888674479165,6,0.00637177734895833,0.004209040005326464,0.02,0.02,XAUUSDT_15m_cl_1.csv,16,20250901_234702:16,sobol,6,17,34,138,10,18,2.0,2.9000000000000004,1.4000000000000001,1.2000000000000002,45,0.8
