run_ts,asset,interval,source_file,dest_file,assigned_name,size_bytes,status,reason,rows_in,rows_out,start_ts_in,end_ts_in,start_ts_out,end_ts_out,columns_in
2025-09-01T16:41:31,XAUUSDT,15m,"data\charts_raw\TVC_GOLD, 15.csv",data\charts_cl\XAUUSDT_15m_cl_1.csv,XAUUSDT_15m_cl_1.csv,,standardized,,2295,3355,2025-07-29T01:00:00+07:00,2025-09-01T23:30:00+07:00,2025-07-29T01:00:00+07:00,2025-09-01T23:30:00+07:00,open;high;low;close;Volume
2025-09-01T16:41:31,XAUUSDT,1d,"data\charts_raw\TVC_GOLD, 1D (1).csv",data\charts_cl\XAUUSDT_1d_cl_1.csv,XAUUSDT_1d_cl_1.csv,,standardized,,3917,5683,2010-02-11T00:00:00,2025-09-02T00:00:00,2010-02-11T00:00:00,2025-09-02T00:00:00,open;high;low;close;Volume
2025-09-01T16:41:31,XAUUSDT,1d,"data\charts_raw\TVC_GOLD, 1D.csv",data\charts_cl\XAUUSDT_1d_cl_2.csv,XAUUSDT_1d_cl_2.csv,,standardized,,3334,4838,2012-06-05T00:00:00,2025-09-02T00:00:00,2012-06-05T00:00:00,2025-09-02T00:00:00,open;high;low;close;Volume
2025-09-01T16:41:32,XAUUSDT,1h,"data\charts_raw\TVC_GOLD, 60.csv",data\charts_cl\XAUUSDT_1h_cl_1.csv,XAUUSDT_1h_cl_1.csv,,standardized,,2295,3435,2025-04-11T21:00:00+07:00,2025-09-01T23:00:00+07:00,2025-04-11T21:00:00+07:00,2025-09-01T23:00:00+07:00,open;high;low;close;Volume
2025-09-20T14:10:17,XAUUSD,,data\charts_raw\XAUUSD_H1_202004201700_202304201600.csv,,,1102683,skipped,"Unknown datetime string format, unable to parse: 2020.04.20	17:00:00	1689.78	1691.64	1682.78	1690.96	12321	0	18, at position 0",,,,,,,
2025-09-20T14:10:18,XAUUSD,,data\charts_raw\XAUUSD_H1_202204201700_202504172300.csv,,,1104678,skipped,"Unknown datetime string format, unable to parse: 2022.04.20	17:00:00	1949.13	1954.42	1949.08	1952.41	9491	0	5, at position 0",,,,,,,
2025-09-20T14:10:19,XAUUSD,,data\charts_raw\XAUUSD_H1_202308181700_202509192300.csv,,,770091,skipped,"Unknown datetime string format, unable to parse: 2023.08.18	17:00:00	1893.85	1894.89	1891.62	1893.64	10171	0	4, at position 0",,,,,,,
2025-09-20T14:10:20,XAUUSD,,data\charts_raw\XAUUSD_H1_202504210100_202509192300.csv,,,156205,skipped,"Unknown datetime string format, unable to parse: 2025.04.21	01:00:00	3332.92	3353.09	3329.03	3346.03	4162	0	5, at position 0",,,,,,,
2025-09-20T14:10:20,XAUUSD,,data\charts_raw\XAUUSD_H1_202508181700_202509192300.csv,,,34724,skipped,"Unknown datetime string format, unable to parse: 2025.08.18	17:00:00	3336.73	3338.64	3332.44	3334.30	4075	0	6, at position 0",,,,,,,
2025-09-20T14:10:20,XAUUSD,,data\charts_raw\XAUUSD_H4_202104202000_202209201600.csv,,,138335,skipped,"Unknown datetime string format, unable to parse: 2021.04.20	20:00:00	1777.95	1779.71	1776.86	1778.55	10046	0	5, at position 0",,,,,,,
2025-09-20T14:10:20,XAUUSD,,data\charts_raw\XAUUSD_H4_202104202000_202509192000.csv,,,430349,skipped,"Unknown datetime string format, unable to parse: 2021.04.20	20:00:00	1777.95	1779.71	1776.86	1778.55	10046	0	5, at position 0",,,,,,,
2025-09-20T14:10:30,XAUUSD,,data\charts_raw\XAUUSD_M15_202004201630_202509192345.csv,,,7921027,skipped,"Unknown datetime string format, unable to parse: 2020.04.20	16:30:00	1686.70	1692.60	1685.30	1691.42	4087	0	18, at position 0",,,,,,,
2025-09-20T14:10:30,XAUUSD,,data\charts_raw\XAUUSD_M15_202509181630_202509192345.csv,,,7633,skipped,"Unknown datetime string format, unable to parse: 2025.09.18	16:30:00	3653.96	3654.86	3630.10	3630.10	1603	0	5, at position 0",,,,,,,
2025-09-20T14:10:30,XAUUSD,,data\charts_raw\XAUUSD_M1_202509191620_202509192356.csv,,,27901,skipped,"Unknown datetime string format, unable to parse: 2025.09.19	16:20:00	3653.81	3653.99	3653.08	3653.49	79	0	15, at position 0",,,,,,,
